,experiment,attn,shot_meta,shot,eval_bs,video,miou,step,rel_diff
315,ts-meta2-shot2-n8,ts,2,2,8,motocross-jump,0.4981048107147217,500,42.05022677213216
316,ts-meta2-shot2-n8,ts,2,2,8,paragliding-launch,0.405673086643219,800,-14.869501796216333
317,ts-meta2-shot2-n8,ts,2,2,8,parkour,0.4233078956604004,1000,69.58953281454619
318,ts-meta2-shot2-n8,ts,2,2,8,scooter-black,0.4079662561416626,500,-35.0166224363775
319,ts-meta2-shot2-n8,ts,2,2,8,soapbox,0.5551615357398987,900,0.007559032662859306
320,ts-meta2-shot4-n128,ts,2,4,128,blackswan,0.6786110401153564,1000,-8.861767512095712
321,ts-meta2-shot4-n128,ts,2,4,128,bmx-trees,0.2917041778564453,1000,-18.743188451997888
322,ts-meta2-shot4-n128,ts,2,4,128,breakdance,0.4802079200744629,1000,-12.542050160037299
323,ts-meta2-shot4-n128,ts,2,4,128,camel,0.612012505531311,800,-3.1110277376139166
324,ts-meta2-shot4-n128,ts,2,4,128,car-roundabout,0.8352134823799133,1000,2.682619700883906
325,ts-meta2-shot4-n128,ts,2,4,128,car-shadow,0.7223814129829407,700,-10.178543093632793
326,ts-meta2-shot4-n128,ts,2,4,128,cows,0.6943922638893127,200,-4.345909430196508
327,ts-meta2-shot4-n128,ts,2,4,128,dance-twirl,0.4909489750862121,600,1.3570082003524166
328,ts-meta2-shot4-n128,ts,2,4,128,dog,0.6387078762054443,1000,-9.445052703311605
329,ts-meta2-shot4-n128,ts,2,4,128,drift-chicane,0.638840913772583,900,-4.760655651467519
330,ts-meta2-shot4-n128,ts,2,4,128,drift-straight,0.5552483797073364,400,-16.38257634408486
331,ts-meta2-shot4-n128,ts,2,4,128,goat,0.5353424549102783,1000,-17.285618534684012
332,ts-meta2-shot4-n128,ts,2,4,128,horsejump-high,0.5296932458877563,600,-5.476913167096039
333,ts-meta2-shot4-n128,ts,2,4,128,kite-surf,0.390581727027893,1000,-8.11057232522724
334,ts-meta2-shot4-n128,ts,2,4,128,libby,0.4509367942810058,800,-3.2952379564578
335,ts-meta2-shot4-n128,ts,2,4,128,motocross-jump,0.6087945103645325,900,-5.408312888693953
336,ts-meta2-shot4-n128,ts,2,4,128,paragliding-launch,0.4678081274032593,700,-7.18025898877627
337,ts-meta2-shot4-n128,ts,2,4,128,parkour,0.3871840238571167,1000,-24.29108004968264
338,ts-meta2-shot4-n128,ts,2,4,128,scooter-black,0.6156711578369141,1000,-8.345822456926054
339,ts-meta2-shot4-n128,ts,2,4,128,soapbox,0.6274799108505249,1000,0.08279574093917123
340,ts-meta2-shot4-n2,ts,2,4,2,blackswan,0.6203460693359375,900,-16.6868191821849
341,ts-meta2-shot4-n2,ts,2,4,2,bmx-trees,0.2997280955314636,1000,-16.508054313067213
342,ts-meta2-shot4-n2,ts,2,4,2,breakdance,0.4590364694595337,800,-16.397904235981333
343,ts-meta2-shot4-n2,ts,2,4,2,camel,0.5476004481315613,400,-13.308234471730707
344,ts-meta2-shot4-n2,ts,2,4,2,car-roundabout,0.7457000613212585,300,-8.322318277966895
345,ts-meta2-shot4-n2,ts,2,4,2,car-shadow,0.6590196490287781,900,-18.056993242314327
346,ts-meta2-shot4-n2,ts,2,4,2,cows,0.643737256526947,200,-11.323750218506545
347,ts-meta2-shot4-n2,ts,2,4,2,dance-twirl,0.4053720235824585,600,-16.310456679890926
348,ts-meta2-shot4-n2,ts,2,4,2,dog,0.5916649699211121,1000,-16.11471822328167
349,ts-meta2-shot4-n2,ts,2,4,2,drift-chicane,0.5221547484397888,900,-22.15640104168194
350,ts-meta2-shot4-n2,ts,2,4,2,drift-straight,0.5980300903320312,1000,-9.939880511428106
351,ts-meta2-shot4-n2,ts,2,4,2,goat,0.528637170791626,1000,-18.32163468348075
352,ts-meta2-shot4-n2,ts,2,4,2,horsejump-high,0.4168764352798462,900,-25.608929703252635
353,ts-meta2-shot4-n2,ts,2,4,2,kite-surf,0.1909407973289489,900,-55.078695770452924
354,ts-meta2-shot4-n2,ts,2,4,2,libby,0.4274938106536865,1000,-8.32265683649231
355,ts-meta2-shot4-n2,ts,2,4,2,motocross-jump,0.563232421875,1000,-12.487540354064635
356,ts-meta2-shot4-n2,ts,2,4,2,paragliding-launch,0.3840689659118652,800,-23.79529157761386
357,ts-meta2-shot4-n2,ts,2,4,2,parkour,0.4216171503067016,700,-17.558119355589525
358,ts-meta2-shot4-n2,ts,2,4,2,scooter-black,0.4932693243026733,700,-26.567626807417987
359,ts-meta2-shot4-n2,ts,2,4,2,soapbox,0.5469046831130981,900,-12.768920975367863
360,ts-meta2-shot4-n8,ts,2,4,8,blackswan,0.6541724801063538,1000,-12.143893843832775
